1	开幕典礼
construction began	动工
sleeping arrangements	卧舖
borders on	边界
borough	镇区
total number of ministers	成员总数
mouth	河口
long title	全称
fourth place	第四名
original language(s)	语言
invented by	发明者
goals	目标
editor	编辑
uk	成立于
distinct fellowships	区分
first described by	首次使用
first reported	第一次报导
related products	类似产品
birth name	出生时姓名
construction begin	开工日期
nickname(s)	外号
total points	总积分
from	韧带起点
former name(s)	原名
portrayed by	真人演员
distributed by	发行商
period disadvantages	周期
longest losing run	最长连败
operating speed	设计通过速度
fans	fans
former country(ies) represented	曾代表的国家
publication type	收录小说类型
fate	结局
founded	创办
slogan	口号
largest yield test	测试的最大当量
founder	创造者
track owner(s)	路权拥有者
previous denomination	previous denomination
place of death	逝世地点
family	家族
original channel	首播频道
previous cathedrals	previous cathedrals
examples	举例
team_colors	球队颜色
equipment_label	装备
commission date	开始运转
nationality	国籍
signature_type	签名
membership_year	统计日期
inquiries	询问
settlements	周边城市
reward	奖励
judges	评委
other elements	其他元素
inventor	发明者
longest span	最大跨度
wheelbase	wheelbase
alters to	alters to
related competitions	相关赛事
full_name	full_name
average journey time	运行时间
ipa	ipa
other designations	其他名称
years active	活跃年份
cor-type	加冕
total length	总长度
free dance	自由舞
parking	停车位
floor count	层数
league	league
type of harbor	类型
date formed	建立日期
label6	label6
label5	label5
label4	label4
labels	唱片公司
label1	label1
label2	label2
label3	label3
director	主管
best batting average	打击王
length	长度
access	访问
judge term length	法官任期
type of rock	岩石类型
regulated by	管理机构
broadcaster	频道
authority	authority
penciller(s)	铅笔画
music	配乐
archdiocese	总教区
country (sports)	国籍
type	类型
claim to fame	claim to fame
edited by	剪辑
image size	图像尺寸
lighting	lighting
gpu	gpu
extensions	其他
coin_article	硬币
tagline	口号
focus	目标
lord	统治者
min temperature	最低温度
copyleft	copyleft
crosses	跨越
website url	网站
route	道路
team principal(s)	车队主席
leader_name	leader_name
defending champions	卫冕冠军
line length	路线长度
population_blank1_title	population_blank1_title
field	球员数或队数
hair_colour	发色
contractors	contractors
time zones	时区
opponents	对手
ethnicity	民族
first test	first test
years of minting	铸造年份
capital	首都
groundbreaking	动工
owntitle	拥有者
last race	最后一场
locks	闸门
distributor	发行公司
organisers	主办单位
schedule	周期
expanded	扩建
total tests	核试总数
highest point	最高点
original dance	创编舞
era	时代
diaphaneity	透明性
end	end
commenced operations	开始运营
records set	纪录集
highest fifa ranking	最高fifa排名
debut season	出道赛季
films	电影
athletes participating	参赛运动员
podcast	播客
discipline	项目
total fatalities	总死亡事故
image sensor type	图像传感器类型
current team	所属球队
air dates	播出日期
budget_year	预算
inclination	倾角
namelabel1	namelabel1
district	区域
main facilities	装置
effective	生效
letterer(s)	文字书写
world heritage site	世界遗产地
host	主持人
leader_title1	leader_title1
leader_title4	leader_title4
leader_title2	leader_title2
leader_title3	leader_title3
typical use	一般使用
motive	动机
dam	母系
eye_colour	瞳色
format coverage	format coverage
home	故乡
cut	入围
main ingredients	主要成分
current stockpile (usable and not)	核弹头当前贮量
opening film	开幕电影
cpu	cpu
owned by	拥有者
country represented	代表国家
decorations	奖章
operational	运行时间
ceo	执行长
foreign suppliers	外国供应商
leader5_title	leader5_title
folded	结束年份
head_label	head_label
head union	领导
pronunciation	发音
series	系列
outcome	结果
user reminders	注意事项
first appearance	初次登场
power consumption	功耗
no. of offices	分所数目
assistant	assistant
selection	参与
first time	首次时间
deputy head of government	副政府首脑
ethnic groups	民族
other	次要
geographic location	地理位置
important associated figures	重要人物
architecture	建筑风格
description	描述
country	国家
operator(s)	营运单位
rpm	转速
garrison_label	驻地
launch site	发射地点
tournament	tournament
related shows	相关节目
producer(s)	制作
serving temperature	上菜温度
date of first use	启用日期
head	head
media	媒体
scoreboard	计分牌
tractive effort	牵引力
championships	联盟冠军
partner	搭档
time in space	太空时间
removed from nrhp	除名日期
measurement	尺寸
sex	性别
career titles	冠军头衔
thrust (sl)	推力（海平面）
church	教会
top scorer(s)	神射手
runtime	每集时长
deposition	废位
plurality	多元意见
hosted by	主持人
overall titles	overall titles
rooms	客房数
cover artist	封面绘图
otherlabel1	otherlabel1
died	逝世
levels	层
award years	award years
major sites	代表遗址
retirement	退役日期
orientation	方向
political alignment	政治立场
ceased publication	停刊日
suspect(s)	嫌疑犯
number of floors	层数
products	产品
seats2_title	seats2_title
ideology	意识形态
play	玩的方向
identification_symbol_3_label	三式佩章
variants	其他样式
next south	南站
buildings	建筑
entry-level	低端gpu
full name	姓名
designed by	美术设定
majority	多数意见
system transfers	转运系统
political_status	political_status
development status	开发状态
cadet branches	分支
frame coverage	画面覆盖率
missions	任务
theme song	主题曲
now coaching	现在执教
channel name	频道名称
chamber pressure	燃烧室压力
killed	致死数
artists	美术
other dimensions	其他尺寸
main_organ	主要机构
hand	手
introductory price	单价
archipelago	所属群岛
goals scored	总入球数
time zone	时区
established_date	established_date
connects to	接续
tradition or genre	传统/学派
range_lat_d	坐标
trainer	练马师
slogan	口号
field of research	研究领域
trenches	海沟
coordinates	坐标
state size	state size
most valuable player	最有价值球员
test drivers	测试车手
event name	event name
email	e-mail
exposure modes	曝光模式
noc	noc
tyres	轮胎
medals	奖牌
most titles (female)	最多头衔（女子）
doctoral students	博士生
boat-passable	通航能力
most singles titles	最多单打头衔
mottos	格言
administrator(s)	管理机构
type	类型
type2	type2
current status	现状
types	类型
key people	重要人物
destination	目的地
inmates	囚犯
provost	教务长
vice presidential nominee	副总统候选人
winner's share	冠军将金
real name	本名
progression	注入
year of current production of oil	年份
produced	生产时间
producer	制作人
highest attendance	最多观众
wharfs	码头
ground	容纳人数
jointhost1	jointhost1
company	公司
management	控制系统
current operator(s)	营运商
most nominations	提名最多
faculty	教师人数
client	委托人
bond angle(s)	键角
current club	所属俱乐部
feast day	纪念日
man_of_the_match2btitle	man_of_the_match2btitle
sculptor	雕塑者
minister2_name	隶属部长
master	master
main characters	主要人物
backgrounds by	背景
fia grade	等级
video games	电子游戏
designer	设计师
announcer	制作助理
focus	目标
orbital	轨道
nrhp_type	nrhp_type
industrial sector(s)	工业部门
inaugural holder	首任
discovery date	发现日期
men	男子
venue	场地
notable commanders	著名指挥官
man_of_the_match2atitle	man_of_the_match2atitle
suites	套房类型
project manager	项目经理
mps	mps
waterway	水道
mvp	mvp
founders	founders
location(s)	外景
promotions	所属联盟
power	power
coord_display	coord_display
event	大赛名称
components	components
dome height (inner)	穹顶高度（内侧）
areas	区域
orders	勋章
terminus_b	terminus_b
terminus_a	terminus_a
budget(s)	预算
nonfiction topics	非小说类主题
arena	球馆
leader3_title	leader3_title
opening theme	片头曲
subject	主题
parent house	先前王室
design life	设计寿命
track length	轨道长度
magazines	杂志
race drivers	主车手
benefits	好处
top floor	最高楼层
current champion	current champion
download url	下载地址
races	赛事
circuit	circuit
edge	边缘
developers	开发
banknote_article	纸币
managing agency	管理机构
conviction(s)	定罪
criteria	标准
extinct	extinct
most championships	最成功球队
editing by	剪辑
home station	频道
child2_agency	下设机关
most premierships	最成功优胜队
base of operations	根据地
creative director(s)	创意总监
block	拦网高度
total views	合共点击率
attack type	形式
annual exports	年出口
rail line	路线
date invented	研发日期
plays	持拍
area served	服务范围
accused	被告
coat of arms	纹章
publisher(s)	发行商
chinese	chinese
next tournament	next tournament
began operation	开始运营
parents	父母
agency	后继机构
axle load class	轴重等级
inherent abilities	能力
region or state	地区
average depth	平均深度
beginning date	动工日期
operating bases	操作基地
class wins	级别胜利
active	活动年代
turned pro	转职业年
first occupied	启用
other themes	主题曲
architectural style(s)	建筑样式
number of suites	套房数量
most wins (manufacturer)	最多胜（制造商）
district	区域
major practice areas	主要执业领域
coroner	验尸官
missing	失踪者
web	web
stage wins	赛段胜利
blank1_name	blank1_name
height restriction	身高限制
total height	高度
hair	发色
hotel chain	连锁酒店
candidate	候选人
result	结局
grouping	分类
currency	货币
built by	建造者
author	作者
longest winning run	最长连胜
record attendance	人数纪录
service branches	军事部门
related	related
venerated in	尊者
box office	票房
mission type	任务类型
maximum missile range	导弹最远射程
attendance	上座率
use	使用
lbl5	lbl5
lbl4	lbl4
lbl3	lbl3
lbl2	lbl2
lbl1	lbl1
percent of gdp	占gdp百分比
total prize money	总奖金
established_title3	established_title3
established_title2	established_title2
established_title1	established_title1
unit	部队
leagues	联赛
principal	校长
number of inmates	囚犯人数
laps	圈数
named after	命名依据
skating club	俱乐部
extent	范围
concurrence	协同意见
books	书籍
musicals	音乐剧
comp. dance	规定舞
most titles	夺冠最多
teams participating	参赛队伍
deputyminister2_name	隶属副部长
architect	建筑师
election(s)	选举
original use	原用途
first head	领导人
line used	运行经由
cinematography	摄影
rounds	重复回数
visitors per annum	每年访客
lowest fifa ranking	最低fifa排名
third place	季军
working state	运作状态
completed date	建造时间
years2	years2
years3	years3
years4	years3
years1	years1
years9	years9
years8	years8
years7	years7
years6	years6
system	系统
operated by	运营者
former partner	前任搭档
chief executive	执行长
reestablished	重建
earlier spellings	早期拼写
inventor(s)	发明者
minor planet category	小行星分类
reference to legal mandate	授权法源
line	铁路线
thickness	厚度
longitude	静止经度
alma mater	母校
students	学生
former teams	前任车队
branch of	隶属于
recording studio	录制地
civil engineer	土木工程师
max. volume size	最大卷容量
cause	原因
mother	母亲
longest unbeaten run	最长不败
shown here	如图所示
established	创立日期
successful competition design	获得奖项
weather	天气
registry	注册
directors	主任
constructors' championships	车队
created	所属年代
nickname	绰号
stat3label	stat3label
topped-out	封顶日期
number of positions	法官人数
dimensions	dimensions
difficulty	困难度
revenue	收入
host railroads	host railroads
military age	服役年龄
writers	编剧
battles_label	参与战役
operating agency	主管机构
freight	货运量
subdivision_type3	subdivision_type3
subdivision_type2	subdivision_type2
subdivision_type1	subdivision_type1
overlies	下伏
relatives	亲属
funding	资金
uses	使用
user	用户数
mean radius	平均半径
construction end	竣工日期
stdtitle	stdtitle
disestablished	拆除
lifespan	存在时间
house1	house1
inaugural season	首个赛季
total_type	人口
no. of series	季数
instrument_9_name	instrument_9_name
marketing target	市场取向
administrative staff	行政人员
number of lanes	车道数量
average attendance	平均观众
directed by	导演
shoe size	鞋码
official name	正式名称
other information	其他信息
seat_type	seat_type
home stadium	主场
architectural style	建筑风格
ingredients	原料
classes	级别
calcium (ca)	钙（ca）
dispute policies	争议政策
relations	亲属
nations	参赛国家/地区
distance	距离
related items	相关事物
identification	编号
adopted	启用
flight origin	起飞地
engineer	工程师
surface	地况
navigation authority	运营者
range	探测距离
media type	介质
service frequency	营运模式
term length	任期
ranks	军阶
max. width	最宽范围
animated series	动画
publishers	发行
observed by	参与者
published in	收录于
alternative names	其他名称
district_type	地区
print title	print title
equatorial rotation velocity	赤道自转速度
cards	牌的数量
colours	colours
participants	同伙
director of music	director of music
standards	标准
distribution	distribution
exec. producer(s)	总监制
orbits per day	日环绕数
engineering design by	设计单位
vehicle type	车辆种类
associated with	有关者
length	长度
writing	文字
dynasty	王朝
mouth elevation	河口海拔
crest	冠饰
siblings	兄弟姐妹
bogie	转向架
car number	车号
chassis	底盘
new session started	当前任期
meetings total	对赛次数
first	首次
current ranking	现今排名
place of birth	出生地点
region12	region12
region11	region11
region14	region14
region13	region13
region10	region10
region19	region19
region16	region16
region15	region15
region18	region18
region17	region17
region25	region25
region24	region24
region23	region23
region22	region22
region21	region21
region20	region20
public law	制定者
region29	region29
region28	region28
region27	region27
region26	region26
region30	region30
region32	region32
region31	region31
available for military service	可用人数
guru	古鲁
diameter	直径
damsire	外祖父
network(s) (us)	播出频道（美国）
rallies	出赛次数
host nation	主办国
weight gain	体重是否会增加
direction	direction
medal_type	季军
